"","Year","Latitude","Longitude","Population_name","Location","PopSize"
"1",1980,-35.0441922212527,147.316789627075,"Wagga Wagga__1980_1","Wagga Wagga",1
"2",2001,-35.169,146.852,"Lockhart__2001_1","Lockhart",23
"3",2001,-34.53588,138.8444613,"Turretfield__2001_1","Turretfield",1
"4",2001,-34.5267879,135.678308,"Wanilla__2001_1","Wanilla",1
"5",2011,-41.1145380872682,145.814666748046,"Burnie__2011_1","Burnie",2
"6",2012,-38.086743,143.935783,"Inverleigh__2012_1","Inverleigh",2
"7",2013,-37.6170182,142.8291739,"Lake Bolac__2013_1","Lake Bolac",19
"8",2013,-36.7131358,142.1999045,"Horsham__2013_1","Horsham",19
"9",2014,-41.82624,147.2047,"Cressy__2014_4","Cressy",8
"10",2014,-41.80561,147.07391,"Cressy__2014_3","Cressy",5
"11",2014,-41.785731,147.100816,"Cressy__2014_2","Cressy",8
"12",2014,-41.76983,147.05879,"Cressy__2014_1","Cressy",12
"13",2014,-41.65237,147.08737,"Cressy__2014_1","Cressy",1
"14",2014,-41.53327,146.88162,"Westbury__2014_1","Westbury",12
"15",2014,-41.49302,146.61154,"Deloraine__2014_1","Deloraine",4
"16",2014,-40.94678,145.66536,"Wynyard__2014_1","Wynyard",5
"17",2014,-37.2419,140.74342,"Penola__2014_1","Penola",19
"18",2016,-41.61088,147.05777,"Longford__2016_1","Longford",14
"19",2016,-37.77109,142.19745,"Hamilton__2016_1","Hamilton",28
"20",2016,-37.2746,140.79221,"Coonawarra__2016_1","Coonawarra",9
"21",2016,-35.43967,147.192665,"Holbrook__2016_2","Holbrook",1
"22",2016,-35.436911,146.916697,"Henty__2016_1","Henty",26
"23",2016,-35.05947,147.27016,"Holbrook__2016_1","Holbrook",4
"24",2016,-34.558934,147.098143,"Methul__2016_1","Methul",1
"25",2016,-34.200524,146.921199,"Beckom__2016_1","Beckom",28
"26",2017,-41.70699,147.07939,"Cressy__2017_6","Cressy",2
"27",2017,-41.5222,146.63046,"Deloraine__2017_2","Deloraine",5
"28",2017,-41.4903891597149,146.920681992492,"Hagely__2017_1","Hagely",3
"29",2017,-41.46932,146.8969,"Selborne__2017_1","Selborne",22
"30",2017,-41.46432,146.8969,"Selbourne__2017_2","Selbourne",8
"31",2017,-37.8382876706711,142.078506505257,"Hamilton__2017_2","Hamilton",19
"32",2017,-37.7151,142.7909,"Lake Bolac__2017_2","Lake Bolac",21
"33",2017,-34.563,138.4708,"Two Wells__2017_1","Two Wells",22
"34",2017,-34.2448,137.9951,"Port Clinton__2017_1","Port Clinton",3
"35",2017,-33.559865,148.655858,"Canowindra__2017_1","Canowindra",23
"36",2018,-36.299154,140.8625324,"Bordertown__2018_1","Bordertown",13
